,jeux,note,avis
84,test,18,"Carrément génial, enfin un jeu simple et efficace, peu de voiture et c'est très bien, tout est basé sur la conduite et les réflexes. Les parties sur Internet un vrai régal, création des circuits : un jeu d'enfant qui laisse cour à beaucoup de fantaisie. Pour tout age (j'ai 47 ans et je crois bien que je suis retombé en enfance). Merci NADEO"
85,test,18,Trés bon jeu. Niveau graphique je donne 16/20 ou plus même c'est pas si pire que ça les graphiques... Niveau jouabilité et durée de vie c'est excellent : on peut jouer jusqu'à 4 sur le meme PC. Et en plus il y a le mode multijoueurs. C'est trés interessant de fabriquer les circuits les plus fous de nos rêves...
86,test,12,"Ce jeu n'est vraiment pas extraordinaire. Bande son médiocre, graphismes lamentables. Bon, j'avoue que personne ne dit le contraire. Mais tout le monde adore. Pourquoi?
Son fun serait soi disant énorme. Pourtant, j'y ai joué un après-midi et malgré quelques parties de délire, on se lasse assez vite : tout le monde sait bien conduire au bout de deux parties, et ensuite on ne progresse plus : c'est forcément un frein à la durée de vie.
Quant à l'éditeur de circuits, il est marrant, mais bon (pour les connaisseurs, ca ressemble pas mal à Motocross Madness). Pour dire vrai, ce mode de construction de circuits relève plus du bonus que de l'essence du jeu.
Que retenir de tout ca ? Un jeu sans ambitions, fun mais dont on se lasse vite. A 45 euros, passez votre chemin..."
87,test,20,"Trackmania est incroyablement bon ! Ca fait du bien de voir un concept original de jeu de voitures ! C'est génial et en plus c'est français ! Merci à jv.com pour leur dossier qui m'a permis de découvrir cette bombe ! 
Trackmania c'est fun, super prenant et enfin un jeu de voitures nous offre la possibilité de construire nos propres circuits ! Les types de conduite sont bien réglés et les blocs différents super drôles ! Le solo est super sympa, bonne durée de vie pour les médailles et le multi incroyable ! Je joue avec des potes en LAN en salle et ça déchire ! ca faisait longtemps qu'on avait pas eu un jeu frais pour le multi.
Bref ... vous aurez compris... je conseille Trackmania à tous les joueurs sur PC qui aiment les jeux de caisses et le multi entre potes !"
88,test,19,"Enfin ça me rapelle pourquoi j'aimais tant les jeux vidéo ! Certes le jeu n'est pas parfait, mais c'est surtout très fun et les gros concepteurs de jeux vidéo devraient se servir de Trackmania comme modèle !"
89,test,12,"Ce jeu est fun. Les voitures sont très agréables et marrantes à conduire, mais comme l'a dit le testeur :
- il n'y a pas de gestion des dégats et pas de collision contre les concurrents (les voitures se traversent comme des fantômes),
Et ça, c'est nul. Si on avait pu se pousser et casser les voitures, ca aurait été 100 fois plus drôle.
Domage. Ce jeu aurait pu être excellent. Au final, c'est juste un jeu fun, rigolo 10 minutes, avec des graphismes pas top."
90,test,18,"Il est excellent, le seul gros défaut que je lui trouve c'est qu'il n'y a pas de gestion de collision entre les voitures, sinon pour le reste ce n'est que du fun!!! De plus du fait qu'il a des graphismes dépouillés (certain y trouvent un désavantage) cela lui permet de pouvoir tourner sur de petites configs!!! L'éditeur de circuits est vraiment simple!!! Un conseil achetez-le!!! ;)"
91,test,20,"Trackmania est l'un de ces jeux qui peuvent devenir un titre de légende grâce à un concept captivant, un gameplay simple et efficace et une durée de vie immense ! Pour devenir accro, il suffit de trois choses : avoir un PC, une connexion honnête et aimer la conduite. Vous les remplissez ? Alors il vous faut ce jeu !!!
De tous les titres actuellement sur le marché, TrackMania est sans aucun doute le plus fun de l'année. Et terriblement addictif même ! Le fun à l'état pur !!!"
92,test,15,"Ca me rappelle ""4D Sport Driving"", un très ancien jeu de l'epoque des PC 286-486, c'était en 3D (d'époque bien sûr ;)) et il fallait construire les parcours avec obstacles, ponts, looping, etc... Je pense sincèrement que Trackmania s'y est fortement inspiré ! Et c'est tant mieux !"
93,test,15,"Trackmania est un très bon jeu de courses folles, vous passerez de très bonnes heures de jeu, surtout en réseau ! Des graphismes moyens mais une jouabilité très simple ! Bravo pour ce jeu varié et dont on ne se lasse pas !"
94,test,18,"SUPER FUN MAIS....Après avoir joué puis rejoué puis rejoué à la démo je suis accro !!!!
Par contre je m'attendais à un prix beaucoup plus bas pour un jeu à la conception aussi simple que Trackmania ! 45€ pour déconner.... c'est l'abus !!!"
95,test,17,"Ce jeu est sans doute un des meilleurs !!! Les graphismes des voitures c'est pas encore tout à fait ça, mais c'est bien quand même ! Le son du menu n'est pas super mais à part ces 2 défauts, c'est vraiment un excellent jeu !!! on fait des courses et des puzzles (vous devez faire votre propre itinéraire pour relier le départ à la ligne d'arrivée sans oublier des checkpoints !), pour gagner des points pour acheter plus de blocs dans un éditeur de circuits très facile à manipuler ! vous pouvez donc faire votre propre circuit ! c'est pour ça que ce jeu a une durée de vie quasi ilimitée !! ah ! un autre petit défaut : on ne peut pas faire des routes en diagonales ce qui est assez gênant. Un pur jeu !! A bloc à bloc, à bloc !!"
96,test,19,"Un des meilleurs jeux auquel j'ai joué depuis bien longtemps. Pas de marque pour les voitures, pas 36 modèles, en 20 secondes on joue.
Pas de perte de temps et du fun immédiat.
Certains Puzzles sont bien ""méchants"" (le D3 par exemple), mais se laissent passer.
En plus le jeu n'est franchement pas cher pour la durée offerte...On est loin des ""Revenge of the Shoalin Monk XII"" qui se finissent en six heures pour bien plus cher. Merci Nadéo et merci Focus !! "
97,test,18,"N'étant ni fan des jeux de bagnoles, ni particulièrement attiré par les joutes en réseaux, ce jeu me plaît pourtant beaucoup !
Halte à la fuite en avant des graphismes qui nous donnent des productions certes belles mais dont parfois le qualificatif de jeu ne paraît pas évident tant les concepts ludiques pataugent...Avec ce jeu on retrouve enfin le plaisir simple de jouer à partir de principes finalement assez basiques mais très réussis."
